通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
3295	2062	از	از			
3372	3011	از	از			
3724	4025	از	از			
3821	4037	از	از			
3840	5001	از	از			
5351	5002	از	از			
5363	5007	از	از			
3869	5008	از	از			
6043	5012	از	از			
5392	5018	از	از			
5409	5026	از	از			
5419	5030	از	از			
3994	5042	از	از			
4002	5044	از	از			
5452	5048	از	از			
5454	5048	از	از			
4043	5054	از	از			
5519	5065	از	از			
5523	5067	از	از			
5525	5067	از	از			
5568	6016	از	از			
4291	8002	از	از			
4317	8009	از	از			
5650	9001	از	از			
6129	9004	از	از			
5668	9008	از	از			
5672	9009	از	از			
5674	9010	از	از			
4419	9013	از	از			
5713	9021	از	از			
5721	9022	از	از			
4487	9023	از	از			
5733	10002	از	از			
5745	10004	از	از			
4535	10005	از	از			
4602	10019	از	از			
4606	10021	از	از			
1630	5022	ازش	از			
4548	10007	آسونی	آسان			
5391	5016	اسب	اسب			
1609	5017	اسب	اسب			
1623	5021	اسب	اسب			
6140	9014	استانی	آستان			
4436	9014	استاندار	استاندار			
5690	9015	استاندار	استاندار			
5725	9022	استاندار	استاندار			
6054	5033	استراحت	استراحت			
3186	2052	استفاده	استفاده			
3911	5022	استفاده	استفاده			
3958	5032	استفاده	استفاده			
5508	5065	اسم	اسم			
4233	7002	اسم	اسم			
4942	2039	آش	آش			
4967	2045	آش	آش			
5133	3019	آش	آش			
6013	4022	آش	آش			
6023	4027	آش	آش			
4159	6005	اصلاً	اصلا			
3359	3010	افتاد	افتادن			
2447	1005	افتاد	افتادن			
4337	8010	افتاد	افتادن			
4667	1022	آقا	آقا			
2544	1023	آقا	آقا			
4731	1035	آقا	آقا			
2677	1036	آقا	آقا			
4746	1041	آقا	آقا			
2694	1042	آقا	آقا			
4761	1046	آقا	آقا			
2823	2006	آقا	آقا			
2855	2010	آقا	آقا			
2902	2016	آقا	آقا			
2943	2022	آقا	آقا			
4922	2031	آقا	آقا			
3044	2036	آقا	آقا			
3048	2036	آقا	آقا			
3056	2037	آقا	آقا			
3181	2052	آقا	آقا			
3208	2056	آقا	آقا			
5042	2059	آقا	آقا			
6213	2059	آقا	آقا			
6215	2059	آقا	آقا			
3270	2062	آقا	آقا			
3288	2062	آقا	آقا			
5065	2062	آقا	آقا			
5002	2051	آقای	آقا			
3191	2054	آقای	آقا			
3674	4020	آقاجان	آقاجان			
4531	10004	اقدام	اقدام			
2829	2006	اگر	اگر			
4822	2007	اگر	اگر			
3542	3045	اگر	اگر			
5375	5012	اگر	اگر			
3926	5026	اگر	اگر			
4438	9015	اگه	اگر			
5864	1055	الاغ	الاغ			
1526	5001	الاغی	الاغ			
268	1032	الان	الان			
5998	3040	الان	الان			
4096	5064	الان	الان			
407	1055	البته	البته			
1311	4011	البته	البته			
1384	4020	البته	البته			
267	1032	اما	اما			
3160	2050	آماده	آماده			
873	2061	آماده	آماده			
1529	5001	آمد	آمدن			
109	1014	اومد	آمدن			
111	1014	اومد	آمدن			
113	1014	اومد	آمدن			
154	1022	اومد	آمدن			
156	1022	اومد	آمدن			
167	1023	اومد	آمدن			
195	1028	اومد	آمدن			
197	1028	اومد	آمدن			
199	1028	اومد	آمدن			
301	1035	اومد	آمدن			
303	1035	اومد	آمدن			
305	1035	اومد	آمدن			
307	1035	اومد	آمدن			
4739	1041	اومد	آمدن			
4741	1041	اومد	آمدن			
4743	1041	اومد	آمدن			
4745	1041	اومد	آمدن			
4754	1046	اومد	آمدن			
4756	1046	اومد	آمدن			
4758	1046	اومد	آمدن			
4760	1046	اومد	آمدن			
391	1053	اومد	آمدن			
2831	2006	اومد	آمدن			
505	2010	اومد	آمدن			
549	2016	اومد	آمدن			
2916	2016	اومد	آمدن			
564	2017	اومد	آمدن			
604	2023	اومد	آمدن			
612	2025	اومد	آمدن			
3004	2031	اومد	آمدن			
670	2033	اومد	آمدن			
3036	2035	اومد	آمدن			
685	2036	اومد	آمدن			
761	2050	اومد	آمدن			
821	2056	اومد	آمدن			
3236	2058	اومد	آمدن			
884	2062	اومد	آمدن			
901	2062	اومد	آمدن			
5060	2062	اومد	آمدن			
977	3005	اومد	آمدن			
5117	3011	اومد	آمدن			
1014	3012	اومد	آمدن			
3383	3013	اومد	آمدن			
3396	3016	اومد	آمدن			
1073	3024	اومد	آمدن			
1122	3030	اومد	آمدن			
1162	3037	اومد	آمدن			
1169	3037	اومد	آمدن			
1187	3039	اومد	آمدن			
1232	3043	اومد	آمدن			
1235	3044	اومد	آمدن			
5587	7005	اومد	آمدن			
5597	7005	اومد	آمدن			
2064	8005	اومد	آمدن			
2084	8009	اومد	آمدن			
2100	8011	اومد	آمدن			
2141	9004	اومد	آمدن			
2149	9005	اومد	آمدن			
2174	9009	اومد	آمدن			
2181	9010	اومد	آمدن			
2192	9011	اومد	آمدن			
2227	9017	اومد	آمدن			
5705	9020	اومد	آمدن			
3866	5007	اومدم	آمدن			
209	1029	اومدن	آمدن			
870	2061	اومدن	آمدن			
913	2062	اومدن	آمدن			
1795	5052	اومدن	آمدن			
4042	5053	اومدن	آمدن			
401	1054	اومدند	آمدن			
524	2012	اومدند	آمدن			
1172	3037	اومدند	آمدن			
478	2006	اومده	آمدن			
520	2011	اومده	آمدن			
625	2027	اومده	آمدن			
629	2027	اومده	آمدن			
631	2027	اومده	آمدن			
788	2052	اومده	آمدن			
3654	4019	اومده	آمدن			
4114	5065	اومده	آمدن			
74	1009	اومدی	آمدن			
2550	1023	اومدی	آمدن			
939	2065	اومدیم	آمدن			
1684	5032	بیا	آمدن			
2518	1018	بیا	آمدن			
176	1025	بیا	آمدن			
5088	3004	بیا	آمدن			
1066	3022	بیا	آمدن			
3646	4018	بیا	آمدن			
2069	8006	بیا	آمدن			
4431	9014	بیا	آمدن			
2219	9015	بیا	آمدن			
724	2041	بیاد	آمدن			
750	2047	بیاد	آمدن			
2119	8013	بیاد	آمدن			
6249	9012	بیاد	آمدن			
623	2027	بیان	آمدن			
3658	4019	بیای	آمدن			
1781	5050	بیایید	آمدن			
3578	4003	میاد	آمدن			
1299	4008	میاد	آمدن			
1327	4013	میاد	آمدن			
1339	4016	میاد	آمدن			
1357	4017	میاد	آمدن			
3648	4018	میاد	آمدن			
5256	4018	میاد	آمدن			
1373	4020	میاد	آمدن			
3710	4023	میاد	آمدن			
1486	4037	میاد	آمدن			
1886	6003	میاد	آمدن			
1943	6012	میاد	آمدن			
1957	6015	میاد	آمدن			
4269	7006	میاد	آمدن			
4275	7007	میاد	آمدن			
2122	8014	میاد	آمدن			
3140	2049	میام	آمدن			
3426	3023	میام	آمدن			
1494	4037	میان	آمدن			
1498	4038	میان	آمدن			
